new_map: 00000000
save: 00000000; 00; dmp_cmds_00000000_00000000.sav
load: opntitle.dat
load: opntitle.dat
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
cmd: 000af1ad; 34; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ad; 34; 09; 0187a3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 36; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ad; 36; 09; 0187a2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 38; 09; 0183a7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 3a; 09; 0183a6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 3c; 09; 0183a5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 3e; 09; 0183a4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 40; 09; 0183a3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 42; 09; 0183a2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 44; 09; 017fa7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 46; 09; 017fa6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 48; 09; 017fa5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
sync: 000af1ae; 00; 323dfbd6; f63165b3
cmd: 000af1ae; 00; 09; 017fa4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ae; 02; 09; 017fa3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ae; 04; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ae; 04; 09; 017fa2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ae; 06; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ae; 08; 09; 000000; 00004e20; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ae; 1e; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ae; 20; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ae; 38; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
sync: 000af1af; 00; 5018599c; 9496ce78
cmd: 000af1af; 04; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1af; 06; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1af; 1c; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1af; 1e; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1af; 34; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1af; 36; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1af; 38; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
sync: 000af1b0; 00; b1a21007; f16c2d40
cmd: 000af1b0; 06; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b0; 08; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b0; 20; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b0; 22; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b0; 3a; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b0; 3c; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
sync: 000af1b1; 00; 47849d15; 41cbeae2
cmd: 000af1b1; 0a; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b1; 20; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b1; 22; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b1; 38; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b1; 3a; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
sync: 000af1b2; 00; 7bf43277; 78471bb5
cmd: 000af1b2; 06; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b2; 08; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b2; 0a; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b2; 22; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b2; 24; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b2; 3c; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b2; 3e; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
sync: 000af1b3; 00; ff5fe1ce; b8ff22ea
cmd: 000af1b3; 0c; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b3; 0e; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b3; 26; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b3; 3c; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
sync: 000af1b4; 00; 757d1b8c; 280d3897
sync: 000af1b5; 00; 90131d3e; ae57b1e7
cmd: 000af1b5; 44; 03; 000000; 0000002e; 00000000; 00000038; "" (CmdTurnRoadVeh)
cmd: 000af1b5; 44; 04; 000000; 00000036; 00000000; 00000038; "" (CmdTurnRoadVeh)
sync: 000af1b6; 00; c0fa9b16; b7ee9703
cmd: 000af1b6; 28; 06; 000000; 00004e20; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1b6; 28; 07; 000000; 00000007; 00000000; 00000037; "" (CmdRenameSign)
cmd: 000af1b6; 2a; 06; 000000; 00004e20; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1b6; 2a; 07; 04c48b; 00000000; 00000000; 00000036; "ChooChoo: LevelTerrain" (CmdPlaceSign)
cmd: 000af1b6; 2c; 07; 000000; 00000007; 00000000; 00000037; "" (CmdRenameSign)
cmd: 000af1b6; 2e; 07; 04c48b; 00000000; 00000000; 00000036; "ChooChoo: BuildCrossing" (CmdPlaceSign)
cmd: 000af1b6; 30; 07; 04c88b; 0004c88e; 0000010f; 00000000; "" (CmdBuildRailroadTrack)
cmd: 000af1b6; 32; 07; 04cc8b; 0004cc8e; 0000010f; 00000000; "" (CmdBuildRailroadTrack)
cmd: 000af1b6; 34; 07; 04c48c; 0004d08c; 0000011f; 00000000; "" (CmdBuildRailroadTrack)
cmd: 000af1b6; 36; 07; 04c48d; 0004d08d; 0000011f; 00000000; "" (CmdBuildRailroadTrack)
cmd: 000af1b6; 38; 07; 04c88c; 0004c88c; 0000012f; 00000000; "" (CmdBuildRailroadTrack)
